"Country or Area","Year","Value","Value Footnotes"
"Albania","2020","2.36","1"
"Argentina","2022","-4.71","2"
"Armenia","2018","2.4","3"
"Australia","2018","-0.26","4"
"Austria","2021","0.35","5"
"Bangladesh","2016","1.54","6"
"Belarus","2020","2.6","7"
"Belgium","2021","2.08","5"
"Benin","2021","2.31","8"
"Bhutan","2017","1.67","9"
"Bolivia","2021","0.69","5"
"Botswana","2015","-3.3","10"
"Brazil","2022","0.99","2"
"Bulgaria","2021","5.77","5"
"Burkina Faso","2021","-1.1","8"
"CÃ´te d'Ivoire","2021","-0.67","8"
"Cameroon","2014","3.84","11"
"Canada","2019","0.78","12"
"Chad","2022","0.53","13"
"Chile","2022","2.17","2"
"China","2020","4.01","7"
"Colombia","2021","0.73","5"
"Congo","2011","4.65","14"
"Costa Rica","2023","0.34","15"
"Croatia","2021","5.81","5"
"Cyprus","2021","3.11","5"
"Czechia","2021","3.97","5"
"Dem. Rep. Congo","2012","9.78","16"
"Denmark","2021","1.75","5"
"Dominican Republic","2022","-0.57","2"
"Ecuador","2023","-0.96","15"
"Egypt","2019","-1.57","17"
"El Salvador","2022","3.43","2"
"Estonia","2021","6.9","5"
"Eswatini","2016","6.14","18"
"Ethiopia","2015","2.02","19"
"Fiji","2013","-0.51","20"
"Finland","2021","1.48","5"
"France","2021","-0.48","5"
"Georgia","2022","0.57","21"
"Germany","2020","2.86","22"
"Ghana","2016","1.27","23"
"Greece","2021","3.79","5"
"Guinea","2012","5.02","24"
"Guinea-Bissau","2021","-2.35","8"
"Honduras","2019","0.64","12"
"Hungary","2021","6.15","5"
"Iceland","2017","5.26","25"
"India","2011","3.69","26"
"Indonesia","2023","1.9","27"
"Iran","2022","-0.98","21"
"Iraq","2012","1.11","28"
"Ireland","2021","3.55","5"
"Israel","2021","1.03","5"
"Italy","2021","1.86","5"
"Jamaica","2021","2.14","8"
"Jordan","2010","5.77","29"
"Kazakhstan","2021","4.22","30"
"Kenya","2021","-3.09","31"
"Korea","2021","3.71","5"
"Kosovo","2017","1.89","9"
"Kyrgyz Republic","2022","2.09","21"
"Lao PDR","2018","3.07","32"
"Latvia","2021","6.68","5"
"Lithuania","2021","8.11","5"
"Luxembourg","2021","3.14","5"
"Madagascar","2012","-2.26","33"
"Malawi","2019","-6.11","34"
"Malaysia","2021","3.06","35"
"Mali","2021","-3.99","8"
"Malta","2020","4.55","22"
"Mauritania","2019","-0.08","36"
"Mauritius","2017","2.02","9"
"Mexico","2022","1.95","37"
"Moldova","2021","1.12","30"
"Mongolia","2018","3.11","38"
"Montenegro","2021","1.31","5"
"Mozambique","2019","-5.55","36"
"Myanmar","2017","1.28","39"
"Namibia","2015","6.64","10"
"Nepal","2010","4.68","40"
"Netherlands","2021","1.77","5"
"Nicaragua","2014","6.52","41"
"Niger","2021","-1.97","8"
"North Macedonia","2019","5.25","12"
"Norway","2019","0.43","12"
"Pakistan","2018","1.25","3"
"Panama","2023","-1.43","15"
"Paraguay","2022","-1","2"
"Peru","2022","-1.31","2"
"Philippines","2021","0.79","35"
"Poland","2021","5.56","5"
"Portugal","2021","3.32","5"
"Romania","2021","13.46","5"
"Russia","2020","-0.48","7"
"Rwanda","2016","-0.16","42"
"Senegal","2021","-1.09","8"
"Serbia","2021","7.83","5"
"Seychelles","2018","-1.58","43"
"Sierra Leone","2018","2.86","44"
"Slovak Republic","2021","1.29","5"
"Slovenia","2021","4.18","5"
"South Africa","2014","-1.25","45"
"Spain","2021","1.82","5"
"Sri Lanka","2019","0.65","34"
"Sweden","2021","0.99","5"
"Switzerland","2020","0.71","22"
"TÃ¼rkiye","2021","3.49","46"
"Tajikistan","2015","2.67","10"
"Tanzania","2018","0.92","44"
"Thailand","2021","0.55","47"
"The Gambia","2020","-0.06","7"
"Togo","2021","-2.59","8"
"Tonga","2021","5.12","31"
"Tunisia","2021","0.94","31"
"Uganda","2019","-0.09","34"
"Ukraine","2020","4.12","7"
"United Arab Emirates","2018","1.84","43"
"United Kingdom","2021","0.56","5"
"United States","2022","1.38","2"
"Uruguay","2019","0","12"
"Viet Nam","2022","2.78","48"
"West Bank and Gaza","2016","-0.55","49"
"Zambia","2022","-2.31","50"
"Zimbabwe","2019","1.03","51"

"footnoteSeqID","Footnote"
"1","Estimated from consumption data. Growth rates are for the period of 2018-2020."
"2","Estimated from income data. Growth rates are for the period of 2017-2022."
"3","Estimated from consumption data. Growth rates are for the period of 2013-2018."
"4","Estimated from income data. Growth rates are for the period of 2014-2018."
"5","Estimated from income data. Growth rates are for the period of 2016-2021."
"6","Estimated from consumption data. Growth rates are for the period of 2010-2016."
"7","Estimated from consumption data. Growth rates are for the period of 2015-2020."
"8","Estimated from consumption data. Growth rates are for the period of 2018-2021."
"9","Estimated from consumption data. Growth rates are for the period of 2012-2017."
"10","Estimated from consumption data. Growth rates are for the period of 2009-2015."
"11","Estimated from consumption data. Growth rates are for the period of 2007-2014."
"12","Estimated from income data. Growth rates are for the period of 2014-2019."
"13","Estimated from consumption data. Growth rates are for the period of 2018-2022."
"14","Estimated from consumption data. Growth rates are for the period of 2005-2011."
"15","Estimated from income data. Growth rates are for the period of 2018-2023."
"16","Estimated from consumption data. Growth rates are for the period of 2004-2012."
"17","Estimated from consumption data. Growth rates are for the period of 2015-2019."
"18","Estimated from consumption data. Growth rates are for the period of 2009-2016."
"19","Estimated from consumption data. Growth rates are for the period of 2010-2015."
"20","Estimated from consumption data. Growth rates are for the period of 2008-2013."
"21","Estimated from consumption data. Growth rates are for the period of 2017-2022."
"22","Estimated from income data. Growth rates are for the period of 2015-2020."
"23","Estimated from consumption data. Growth rates are for the period of 2012-2016."
"24","Estimated from consumption data. Growth rates are for the period of 2007-2012."
"25","Estimated from income data. Growth rates are for the period of 2012-2017."
"26","Estimated from consumption data. Growth rates are for the period of 2004-2011."
"27","Estimated from consumption data. Growth rates are for the period of 2018-2023."
"28","Estimated from consumption data. Growth rates are for the period of 2006-2012."
